aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
202101777070,6204900332,풀셋(Full Set),3478,서울특별시 은평구응암로174-2,지하1층,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202101775512,2190378684,시수 SISU,3321,"서울특별시 은평구갈현로29길8-1,",1층 좌측호 (갈현동),1,56221,숙박 및 음식점업,커피 전문점,,,56
202101788765,6796700323,한강7080,3396,서울특별시 은평구불광로17,(대조동),1,56219,숙박 및 음식점업,기타 주점업,,,56
202101789091,6220935092,오늘 와인한잔 연신내역점,3331,"서울특별시 은평구연서로27길16-6,",1층 전체호 (갈현동),1,56123,숙박 및 음식점업,서양식 음식점업,,,56
202005518896,6683000536,레코드피자,3333,서울특별시 은평구연서로27길9-1(갈현동),1층,1,56192,음식점업,주점업,,,56
202004491861,1101831620,마루샤브,3336,서울특별시 은평구연서로165(갈현동),동원빌딩 2층,N,56111,음식점업,한식,Y,Y,56
202008616586,2033137022,파리바게뜨 불광역점,3375,서울특별시 은평구진흥로196(녹번동),1층 파리바게뜨 불광역점,1,56191,음식점업,제과점업,Y,,56
201901034931,4460600945,황태,3328,서울특별시 은평구통일로87길6-10,1층,1,56111,음식,한식,Y,,56
202101747182,5930901839,인생닭강정 녹번역점,3472,"서울특별시 은평구은평로220(응암동,녹번역e편한세상캐슬아파트)",단지내상가 B동 111호,1,56193,음식점업,치킨,Y,,56
201902048209,4770601216,신불떡볶이,3481,서울특별시 은평구가좌로7다길9,1층,1,56194,음식점,분식,Y,,56
201906250852,7632600265,섬진강참숯민물장어,3404,서울특별시 은평구서오릉로7길7-1,1층,1,56111,음식점업,한식,Y,,56
201901039054,7861400571,재혁이네,3345,서울특별시 은평구통일로850,"1층, 재혁이네 (불광동,연서시장)",1,56111,음식,기타음식,Y,,56
201903086434,1101877460,본집 참숯생고기,3484,서울특별시 은평구응암로13길26,1층,1,56111,음식,한식,Y,,56
201903087848,4280501269,런주,3485,서울특별시 은평구응암로13길25-1,1층,1,56211,음식점업,간이주점,Y,,56
201903087467,5573100548,슬럼프커피,3398,서울특별시 은평구연서로16길15-7,1층,1,56221,음식,커피,Y,,56
201903102298,1101667328,짝태&노가리,3409,서울특별시 은평구진흥로27,1층104호,1,56219,음식점,기타주점,Y,,56
202112404684,7731801612,미아리우동 은평구청점,3462,서울특별시 은평구은평로170,1층 106호,1,56111,음식점업,우동,,,56
201903102730,1102084528,두루와생조개찜,3409,서울특별시 은평구연서로2길22,두루와생조개찜,1,56111,음식,한식,Y,,56
201903118574,1400187262,갯썸,3398,서울특별시 은평구서오릉로115,갯썸,1,56111,숙박및음식점업,한식 음식점업,Y,,56
201903121919,7882100842,연신내곱창전골,3330,서울특별시 은평구통일로83길15-1(갈현동),1층 우측한칸 연신내곱창전골,1,56111,음식점업,한식,Y,,56
201904161291,3092800560,카페오가닉,3321,서울특별시 은평구갈현로33길5(갈현동),1층 103호,1,56221,음식점,카페,Y,,56
