aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
202101771437,2081752508,일번우동,3124,서울특별시 종로구종로41길10,(종로6가),1,56121,숙박 및 음식점업,중식 음식점업,,,56
202101791041,1010157424,ZEN,3184,서울특별시 종로구새문안로38,스타식스 정동 신관 3층 젠,1,56123,숙박 및 음식점업,서양식 음식점업,,,56
201903120136,3263500262,익선키친,3133,서울특별시 종로구돈화문로11나길32-1,1층,1,56199,음식점업,소규모간이음식점,Y,,56
201904134136,2173332898,성북동커피앤브레드,3157,서울특별시 종로구종로19,지하2층 B210-2호,1,56191,음식점업,제과점,Y,Y,56
202004484334,6146200087,봉달이치킨,3069,서울특별시 종로구성균관로36-1(명륜1가),2층,1,56122,일반음식점,치킨,,,56
201903068121,1011087143,박보연간장게장과삼겹살,3158,서울특별시 종로구종로5길42-5,박보연간장게장과삼겹살,1,56111,음식,한식,Y,Y,56
202101794340,4215700216,에머이대학로,3086,서울특별시 종로구대학로10길26(동숭동),1층 에머이,1,56122,음식점업,베트남음식,,,56
202003409312,1302247462,오씨방아간,3106,서울특별시 종로구종로51길27(창신동),오씨방아간,1,56111,음식점업,제과점,,,56
201812005169,1010169615,동의명가칼국수,3152,서울특별시 종로구종로1길42,동의명가칼국수,1,56111,음식,한식,Y,Y,56
202106998176,7503600778,광샌토,3157,서울특별시 종로구종로191동B2층216-2호,광샌토,1,56192,숙박 및 음식점업,"피자, 햄버거, 샌드위치 및 유사 음식점업",Y,Y,56
201903108004,1011270082,자작나무,3134,서울특별시 종로구율곡로10길25-3,자작나무,1,56219,음식,"간이주점,호프",Y,,56
201904208618,5393400648,커피사피엔스 광화문점,3173,서울특별시 종로구새문안로5길37(도렴동),지하1층 7호,1,56221,음식,카페,,,56
202102803179,3493800776,똥고집,3086,서울특별시 종로구대학로12길92(동숭동),한양빌딩 2층,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
201903111044,6760500705,웜트(Warmte),3014,서울특별시 종로구세검정로9길19,1층,1,56191,도소매업,빵및과자류소매업,,,56
202004459407,2551801036,스시쿠니,3180,"서울특별시 종로구경교장길35(평동,경희궁자이3단지)",경희궁자이 3단지1층상가 1층3133호 스시쿠니,1,56122,음식점업,일식,,,56
201903088498,1010849243,이조식당,3036,서울특별시 종로구자하문로15길10(통인동),이조식당,1,56111,음식,한식,Y,,56
201903068324,1011031561,산내들,3170,서울특별시 종로구새문안로5가길28,광화문플래티넘       지하1층,1,56111,음식및숙박업,한식점업,Y,,56
201812004892,1271590010,나마스테,3114,서울특별시 종로구지봉로18(숭인동),금강빌딩 2층 나마스테 레스토랑,1,56123,음식,"인도음식, 무역",Y,,56
201901042987,5350500398,핫도그트럭앤커피종로북촌점,3060,서울특별시 종로구북촌로25-1,핫도그트럭앤커피종로북촌점,1,56221,휴게음식점,"커피,핫도그",Y,,56
202112404403,6808501758,월영당 서울,3053,서울특별시 종로구북촌로5길62(소격동),월영당 서울,N,56221,음식점업,"커피, 디저트, 주류",,,56
202004464038,6011608238,광화문아침,3060,서울특별시 종로구북촌로1길5(재동),"MJ빌딩 B, 3층",1,56111,음식점업,한식,Y,,56
201903068581,1050342908,대성,3144,서울특별시 종로구율곡로4길49-3,대성,1,56111,음식,한식,Y,,56
201903068584,1011044289,불이아,3085,서울특별시 종로구동숭길98,불이아,1,56121,음식,중국음식점업,Y,,56
202112404660,1018649810,cafe D,3004,서울특별시 종로구평창30길27(평창동),2F,1,56221,휴게음식점,"커피,베이커리",,,56
201903118286,1011038623,왕코등갈비,3133,서울특별시 종로구돈화문로49,1층,1,56111,음식업,한식점업,Y,,56
201904137658,1010735102,소금구이집,3041,서울특별시 종로구사직로115-2,소금구이집,1,56111,음식,한식,Y,,56
202112404801,5451301763,담미온,3060,서울특별시 종로구북촌로1(재동),1층,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
201904176392,2054145599,할머니순대,3195,서울특별시 종로구동호로403-14,1. 2층,1,56194,음식,간이음식,Y,,56
202003401912,2725700332,강남교자 종로점,3159,서울특별시 종로구종로33(청진동),그랑서울 1층 110호,1,56111,음식점업,한식,,,56
202003413182,8150401471,곤드레밥,3169,서울특별시 종로구사직로8길5-13(필운동),정선할매곤드레밥,1,56111,음식 소매,한식 농산물,,,56
202003421535,6910100555,광화문뚝감,3175,서울특별시 종로구새문안로3길21(당주동),1층,1,56111,숙박 및 음식점업,한식 일반 음식점업,Y,,56
202003422290,1011283762,만족오향족발  관철점,3190,"서울특별시 종로구삼일대로17길19(관철동,원산빌딩)",1층,1,56111,숙박 및 음식점업,한식 일반 음식점업,Y,,56
202003430410,2352900572,너섬가,3129,서울특별시 종로구대학로1길34-8(연지동),1층,1,56111,숙박 및 음식점업,한식 일반 음식점업,Y,Y,56
202003430849,8961401014,해몽,3162,서울특별시 종로구인사동길15-5(인사동),해몽,1,56111,음식,한식,,,56
202003430889,8881500516,프리모바치오바치(대학로점),3086,"서울특별시 종로구대학로10길5(동숭동,바탕골소극장)",2층,1,56123,숙박 및 음식점업,서양식 음식점업,Y,,56
202003433296,7083200522,피터 팬스테이크,3084,서울특별시 종로구대학로14길21(혜화동),1층 피터팬스테이크,1,56123,음식점,양식,,,56
202004434628,8392300732,빌런치팬케이크,3078,서울특별시 종로구대학로11길34-1(명륜4가),1층,1,56192,음식,휴게음식,,,56
202004434629,1010874437,대학로에 취하다,3086,서울특별시 종로구동숭길143(동숭동),4층,1,56219,일반음식점,서양음식,,,56
202004435613,6974400434,그레이커피(Grey coffee),3174,서울특별시 종로구사직로8길34(내수동),110호,1,56221,음식점업,커피,,,56
202004437731,5605100445,교촌치킨 숭인점,3112,서울특별시 종로구종로385(숭인동),1층 우측점포,N,56193,음식,프랜차이즈,,,56
202004441302,6033507503,반쥴,3190,서울특별시 종로구삼일대로17길23(관철동),3층,1,56229,음식점업,커피숍,,,56
202004444084,1455800279,돈까스광장,3196,서울특별시 종로구종로224(종로5가),1층,1,56111,음삭점업,한식,,,56
202004445116,3768101619,주식회사 여진곱,3133,서울특별시 종로구삼일대로430(낙원동),1층,N,56112,음식점,한식,,,56
202004449537,1303830808,바르다김선생광화문점,3173,"서울특별시 종로구사직로8길42(내수동,광화문시대)",103호 바르다김선생광화문점,1,56111,음식,일반음식점,,,56
202004449595,1011240351,영양버섯칼국수,3182,서울특별시 종로구새문안로3길12(신문로1가),신문로빌딩지하1층32호,1,56111,음식,한식,,,56
202004454136,7894000074,박순례 손말이고기 산정집,3173,서울특별시 종로구새문안로5가길3-10(당주동),지상2층,1,56111,음식,한식,,,56
202004455760,3490300283,자담치킨 종로1,3190,서울특별시 종로구삼일대로17길20-4(관철동),1층,1,56193,숙박 및 음식점업,치킨 전문점,Y,,56
202004456577,1831500901,엘스,3149,서울특별시 종로구우정국로42(견지동),1층 엘스 행복한 차 한잔,1,56229,음식,간이음식,,,56
202004457207,2101440682,북촌손만두,3146,서울특별시 종로구인사동길42-5(관훈동),1층,N,56111,음식점업,한식,,,56
202004460475,1693200178,최고집곱창,3041,서울특별시 종로구자하문로1길18(체부동),1층,1,56111,음식점,한식,,,56
202004462837,3321800969,네네치킨 종로점,3139,서울특별시 종로구수표로26길12(낙원동),파고다빌딩 1층,1,56193,일반음식점,치킨,,,56
202004468803,1010686472,노블관광호텔,3131,서울특별시 종로구율곡로6길13-3(운니동),커피라,1,56221,"숙박,소매,음식","관광숙박업,커피샵",,,56
202004469063,1258801489,주식회사 더테이블청진탭룸,3158,서울특별시 종로구종로5길32-8(청진동),1층 더테이블청진탭룸,1,56123,음식업점,서양식 음식점업,,,56
202004469753,1011145835,바지락칼국수,3106,서울특별시 종로구창신길42(창신동),1층,1,56112,일반음식점,한식,,,56
202004474223,3504900170,코스트파이브커피 종로학원가점,3191,서울특별시 종로구종로16길12(관철동),1층,1,56221,일반음식점,커피,,,56
202004474786,2810700796,SGH한방차보감,3173,서울특별시 종로구새문안로5길19(당주동),"로얄빌딩지하1층 40,42호",1,56229,음식,전통차,,,56
202004475203,1331405734,개성손만두,3007,서울특별시 종로구진흥로499(신영동),1층 개성손만두,1,56111,음식점업,한식,Y,Y,56
202004476597,4506500131,모던김밥  스페스본,3168,"서울특별시 종로구사직로8길4(사직동,광화문풍림스페이스본)",301동 지층126호,1,56194,음식,분식,,,56
202004477984,5790601415,쌀쌀맞은닭 정동점,3184,서울특별시 종로구새문안로38(신문로2가),지하1층. 쌀쌀맞은 닭 정동점,1,56111,음식점업,한식,Y,Y,56
202004479478,1018206147,더해봄,3134,서울특별시 종로구돈화문로10길25(봉익동),1층 더해봄,1,56221,"서비스,음식점","택배업,카페",Y,,56
202004482009,5591600333,평양고깃집,3149,서울특별시 종로구인사동5길14(관훈동),2층 평양고깃집,1,56111,음식업,한식,,,56
202004488543,1010768689,안동국시소람,3145,서울특별시 종로구인사동9길16(관훈동),지하1층,1,56111,음식및숙박업,한식점업,,,56
202005495512,8062800469,코코로식탁,3077,서울특별시 종로구창경궁로248-4(명륜2가),1층,1,56122,음식점,일식,,,56
202005496268,4145000091,센꼬치,3075,서울특별시 종로구창경궁로249(명륜2가),1층,1,56122,일반음식점,일식,,,56
202005496325,6402200853,POCO,3124,서울특별시 종로구종로41길10(종로6가),카페포코,1,56221,카페,음료,,,56
202005499338,4103246219,오늘은유부데이,3157,"서울특별시 종로구종로19(종로1가,르메이에르종로타운1)",지하1층 제비124-1층,1,56122,숙박 및 음식점업,일식 음식점업,Y,,56
202005504255,1021617787,동천홍,3183,서울특별시 종로구새문안로9길23(당주동),동천홍,1,56121,숙박 및 음식점업,중식 음식점업,Y,,56
